variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_8508	8.23E-01	1.57E-02	6.52E-01	-5.81E-02	1.29E-01	2.62E-02	
group_8452	8.23E-01	1.57E-02	6.52E-01	-5.81E-02	1.29E-01	2.62E-02	
group_8451	8.23E-01	1.57E-02	6.52E-01	-5.81E-02	1.29E-01	2.62E-02	
group_8047	8.23E-01	2.82E-01	3.12E-01	-1.07E-01	1.05E-01	5.87E-02	
group_5404	8.23E-01	1.57E-02	6.52E-01	-5.81E-02	1.29E-01	2.62E-02	
group_19863	8.19E-01	1.70E-03	7.12E-02	2.12E-01	1.17E-01	1.04E-01	
kdtA	8.16E-01	4.83E-02	6.96E-01	-3.29E-02	8.44E-02	2.27E-02	
pgrR~~~lysR	8.19E-01	1.18E-01	7.76E-01	-2.91E-02	1.02E-01	1.65E-02	
group_16643	8.23E-01	3.59E-02	1.95E-01	-1.89E-01	1.46E-01	7.51E-02	
group_16454	8.16E-01	4.83E-02	5.82E-01	4.73E-02	8.59E-02	3.19E-02	
group_16450	8.19E-01	2.12E-01	4.43E-01	-1.09E-01	1.43E-01	4.45E-02	
group_15813	8.19E-01	9.91E-01	5.68E-01	3.55E-02	6.22E-02	3.31E-02	
proQ~~~proP	8.19E-01	2.12E-01	2.18E-01	-1.24E-01	1.00E-01	7.15E-02	
group_13589	8.23E-01	4.07E-01	8.66E-02	-1.75E-01	1.02E-01	9.93E-02	
group_12645	8.19E-01	6.04E-02	9.25E-01	1.03E-02	1.09E-01	5.48E-03	
group_12182	8.19E-01	2.12E-01	9.14E-01	1.05E-02	9.70E-02	6.27E-03	
group_11841	8.19E-01	1.18E-01	6.13E-01	-5.45E-02	1.08E-01	2.94E-02	
group_11493	8.19E-01	6.04E-02	3.20E-01	1.48E-01	1.48E-01	5.77E-02	
group_11185	8.19E-01	2.12E-01	9.14E-01	1.05E-02	9.70E-02	6.27E-03	
group_11171	8.19E-01	2.83E-02	6.40E-01	4.65E-02	9.93E-02	2.72E-02	
group_8850	8.19E-01	1.21E-02	7.22E-01	-4.40E-02	1.24E-01	2.07E-02	
group_8371	8.19E-01	9.91E-01	3.75E-01	-1.09E-01	1.23E-01	5.15E-02	
group_20386	8.16E-01	1.77E-01	9.97E-01	-3.49E-04	1.10E-01	1.84E-04	
group_18474	8.19E-01	1.70E-03	1.51E-01	3.10E-01	2.16E-01	8.32E-02	
group_13723	8.16E-01	9.32E-03	3.74E-01	9.70E-02	1.09E-01	5.16E-02	
rpfG~~~luxR	8.19E-01	3.51E-01	2.55E-01	-1.13E-01	9.90E-02	6.61E-02	
group_13107	8.16E-01	9.32E-03	3.74E-01	9.70E-02	1.09E-01	5.16E-02	
group_12772	8.16E-01	4.69E-01	1.49E-01	-1.74E-01	1.21E-01	8.36E-02	
group_12725	8.16E-01	1.77E-01	5.36E-01	-9.35E-02	1.51E-01	3.59E-02	
group_12457	8.16E-01	1.77E-01	5.36E-01	-9.35E-02	1.51E-01	3.59E-02	
group_12266	8.16E-01	1.77E-01	5.36E-01	-9.35E-02	1.51E-01	3.59E-02	
group_10943	8.16E-01	4.83E-02	6.99E-01	-3.75E-02	9.69E-02	2.25E-02	
group_19891	8.13E-01	9.17E-01	2.54E-01	-1.09E-01	9.50E-02	6.62E-02	
group_19456	8.09E-01	6.50E-02	8.01E-02	-1.14E-01	6.50E-02	1.01E-01	
wecB~~~bcsB	8.13E-01	2.69E-03	6.99E-01	5.64E-02	1.46E-01	2.25E-02	
group_19368	8.13E-01	6.05E-01	5.03E-01	-6.67E-02	9.95E-02	3.89E-02	
group_18958	8.13E-01	7.12E-03	1.60E-01	1.71E-01	1.22E-01	8.15E-02	
group_17670	8.13E-01	4.08E-01	4.84E-02	-2.11E-01	1.06E-01	1.14E-01	
group_16552	8.13E-01	1.73E-02	6.99E-01	4.65E-02	1.20E-01	2.24E-02	
group_11983	8.13E-01	4.08E-01	2.23E-01	-1.42E-01	1.16E-01	7.06E-02	
group_11924	8.13E-01	1.47E-01	6.17E-01	-7.20E-02	1.44E-01	2.90E-02	
group_11571	8.13E-01	1.47E-01	6.28E-01	-6.90E-02	1.42E-01	2.81E-02	
group_10356	8.13E-01	2.55E-01	2.48E-01	-1.63E-01	1.41E-01	6.71E-02	
qacR~~~tetR	8.13E-01	7.85E-02	4.88E-01	-9.01E-02	1.30E-01	4.03E-02	
group_10105	8.13E-01	4.08E-01	6.61E-02	-2.09E-01	1.13E-01	1.06E-01	
group_8408	8.13E-01	2.55E-01	2.48E-01	-1.63E-01	1.41E-01	6.71E-02	
group_7970	8.13E-01	7.85E-02	9.35E-01	-8.56E-03	1.05E-01	4.72E-03	
pimD	8.13E-01	1.73E-02	9.62E-01	4.60E-03	9.62E-02	2.77E-03	
group_5328	8.13E-01	2.55E-01	2.48E-01	-1.63E-01	1.41E-01	6.71E-02	
group_16547	8.06E-01	2.40E-02	8.70E-01	-1.29E-02	7.87E-02	9.48E-03	
group_16264	8.09E-01	3.04E-02	6.33E-01	6.69E-02	1.40E-01	2.78E-02	
group_14657	8.09E-01	3.04E-02	9.51E-01	-7.66E-03	1.24E-01	3.59E-03	
group_14304	8.09E-01	1.34E-02	1.16E-01	1.91E-01	1.21E-01	9.12E-02	
group_14004	8.09E-01	1.34E-02	1.16E-01	1.91E-01	1.21E-01	9.12E-02	
group_12724	8.13E-01	2.55E-01	2.54E-01	-1.61E-01	1.41E-01	6.62E-02	
group_10355	8.09E-01	3.52E-01	8.39E-02	-2.30E-01	1.33E-01	1.00E-01	
group_10231	8.09E-01	2.15E-01	3.16E-01	-1.35E-01	1.34E-01	5.82E-02	
group_8190	8.09E-01	2.15E-01	3.16E-01	-1.35E-01	1.34E-01	5.82E-02	
nfrB	8.06E-01	4.10E-03	7.17E-01	4.71E-02	1.30E-01	2.10E-02	
group_13475	8.06E-01	1.03E-02	9.74E-02	1.93E-01	1.16E-01	9.60E-02	
group_11334	8.06E-01	1.81E-01	3.11E-01	-9.60E-02	9.46E-02	5.88E-02	
group_8827	8.06E-01	3.02E-01	3.85E-01	-8.26E-02	9.49E-02	5.04E-02	
group_7089	8.06E-01	1.03E-02	6.09E-01	5.97E-02	1.16E-01	2.97E-02	
group_17894	8.03E-01	4.08E-02	7.99E-01	3.25E-02	1.28E-01	1.48E-02	
group_14858	8.03E-01	1.88E-02	5.67E-01	7.09E-02	1.24E-01	3.33E-02	
ytxH	8.03E-01	1.51E-01	4.92E-01	6.18E-02	8.99E-02	3.99E-02	
group_5366	8.03E-01	1.10E-03	3.76E-01	1.25E-01	1.41E-01	5.14E-02	
group_16634	7.99E-01	3.25E-02	9.59E-01	-5.03E-03	9.80E-02	2.98E-03	
group_16542	7.99E-01	5.31E-01	2.44E-02	-2.08E-01	9.21E-02	1.30E-01	
group_16398	7.99E-01	5.31E-01	2.44E-02	-2.08E-01	9.21E-02	1.30E-01	
group_16220	7.99E-01	3.25E-02	9.59E-01	-5.03E-03	9.80E-02	2.98E-03	
cytR~~~lacI~~~purR	7.96E-01	1.13E-02	7.86E-01	-2.22E-02	8.18E-02	1.57E-02	
group_13162	7.96E-01	6.69E-01	7.99E-01	-1.57E-02	6.17E-02	1.48E-02	
group_13031	7.99E-01	2.32E-03	5.91E-01	7.03E-02	1.31E-01	3.12E-02	
group_12286	7.99E-01	2.32E-03	5.91E-01	7.03E-02	1.31E-01	3.12E-02	
group_10369	7.99E-01	2.32E-03	7.61E-01	4.07E-02	1.34E-01	1.77E-02	
group_9711	7.99E-01	6.07E-03	5.75E-01	5.47E-02	9.74E-02	3.26E-02	
group_8419	7.99E-01	2.32E-03	7.61E-01	4.07E-02	1.34E-01	1.77E-02	
