variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_3624	5.80E-02	8.58E-02	5.98E-01	-5.86E-02	1.11E-01	3.09E-02	bad-chisq
acrR	5.46E-02	3.10E-01	4.57E-01	-1.05E-01	1.40E-01	4.36E-02	
group_3128	5.80E-02	8.58E-02	4.03E-01	-8.81E-02	1.05E-01	4.91E-02	bad-chisq
group_2915	5.80E-02	8.58E-02	5.53E-01	-6.64E-02	1.12E-01	3.48E-02	bad-chisq
group_2755	5.46E-02	3.10E-01	4.51E-01	-1.05E-01	1.39E-01	4.42E-02	
group_1633	5.80E-02	8.58E-02	5.98E-01	-5.86E-02	1.11E-01	3.09E-02	bad-chisq
group_1198	5.80E-02	8.58E-02	4.03E-01	-8.81E-02	1.05E-01	4.91E-02	bad-chisq
group_696	5.80E-02	8.58E-02	5.98E-01	-5.86E-02	1.11E-01	3.09E-02	bad-chisq
group_24353	5.46E-02	8.34E-01	3.28E-01	1.09E-01	1.12E-01	5.74E-02	
group_24348	5.12E-02	7.19E-01	1.76E-01	1.45E-01	1.07E-01	7.92E-02	
group_24327	5.46E-02	8.34E-01	3.28E-01	1.09E-01	1.12E-01	5.74E-02	
group_23465	5.46E-02	8.34E-01	3.28E-01	1.09E-01	1.12E-01	5.74E-02	
group_23464	5.46E-02	8.34E-01	3.28E-01	1.09E-01	1.12E-01	5.74E-02	
group_22301	5.46E-02	8.34E-01	3.28E-01	1.09E-01	1.12E-01	5.74E-02	
group_22219	5.46E-02	8.34E-01	3.28E-01	1.09E-01	1.12E-01	5.74E-02	
group_22072	5.12E-02	1.25E-01	1.49E-01	-1.98E-01	1.37E-01	8.46E-02	bad-chisq
group_21456	5.46E-02	8.34E-01	3.28E-01	1.09E-01	1.12E-01	5.74E-02	
group_21343	5.46E-02	8.34E-01	3.28E-01	1.09E-01	1.12E-01	5.74E-02	
group_21342	5.46E-02	8.34E-01	3.28E-01	1.09E-01	1.12E-01	5.74E-02	
group_21341	5.46E-02	8.34E-01	3.28E-01	1.09E-01	1.12E-01	5.74E-02	
group_21318	5.46E-02	8.34E-01	3.28E-01	1.09E-01	1.12E-01	5.74E-02	
group_20576	5.46E-02	6.87E-01	6.91E-01	4.19E-02	1.05E-01	2.33E-02	
group_20573	5.46E-02	6.87E-01	6.91E-01	4.19E-02	1.05E-01	2.33E-02	
group_20571	5.46E-02	6.87E-01	6.91E-01	4.19E-02	1.05E-01	2.33E-02	
group_20433	5.46E-02	6.87E-01	6.91E-01	4.19E-02	1.05E-01	2.33E-02	
group_20432	5.46E-02	6.87E-01	6.91E-01	4.19E-02	1.05E-01	2.33E-02	
group_20251	5.46E-02	2.51E-02	1.00E-01	-1.72E-01	1.04E-01	9.62E-02	bad-chisq
group_20239	5.46E-02	6.87E-01	6.91E-01	4.19E-02	1.05E-01	2.33E-02	
group_20229	5.46E-02	6.87E-01	6.91E-01	4.19E-02	1.05E-01	2.33E-02	
group_20072	5.46E-02	1.04E-01	2.28E-01	-1.56E-01	1.29E-01	7.06E-02	bad-chisq
group_19997	5.46E-02	8.34E-01	3.28E-01	1.09E-01	1.12E-01	5.74E-02	
group_19567	5.12E-02	3.67E-01	8.32E-01	-2.37E-02	1.11E-01	1.25E-02	
group_19518	5.46E-02	1.04E-01	4.78E-01	-7.55E-02	1.06E-01	4.16E-02	bad-chisq
group_19260	5.12E-02	1.25E-01	3.87E-01	-1.86E-01	2.15E-01	5.08E-02	bad-chisq
group_19118	5.46E-02	8.34E-01	3.28E-01	1.09E-01	1.12E-01	5.74E-02	
group_18824	5.46E-02	2.51E-02	5.25E-02	-4.39E-01	2.25E-01	1.13E-01	bad-chisq
group_18733	5.46E-02	2.51E-02	1.05E-01	-1.70E-01	1.05E-01	9.48E-02	bad-chisq
group_18191	5.46E-02	2.51E-02	7.50E-02	-1.90E-01	1.06E-01	1.04E-01	bad-chisq
group_18052	5.46E-02	3.10E-01	6.04E-01	-5.80E-02	1.12E-01	3.04E-02	
group_18050	5.46E-02	2.51E-02	1.54E-01	-1.50E-01	1.05E-01	8.36E-02	bad-chisq
group_18048	5.46E-02	6.87E-01	8.59E-01	1.91E-02	1.07E-01	1.04E-02	
group_17923	5.46E-02	3.10E-01	9.30E-01	-9.21E-03	1.05E-01	5.14E-03	
group_17239	5.12E-02	3.04E-02	1.48E-01	-1.54E-01	1.06E-01	8.47E-02	bad-chisq
group_16598	5.46E-02	8.34E-01	2.12E-01	1.33E-01	1.06E-01	7.31E-02	
group_16508	5.46E-02	6.87E-01	5.36E-01	6.70E-02	1.08E-01	3.63E-02	
group_16477	5.12E-02	1.25E-01	3.99E-01	-9.15E-02	1.08E-01	4.95E-02	bad-chisq
group_16283	5.12E-02	1.25E-01	3.99E-01	-9.15E-02	1.08E-01	4.95E-02	bad-chisq
group_15387	5.46E-02	1.04E-01	1.85E-01	-1.74E-01	1.31E-01	7.76E-02	bad-chisq
group_14446	5.46E-02	1.04E-01	7.67E-02	-2.25E-01	1.27E-01	1.04E-01	bad-chisq
group_14283	5.46E-02	1.04E-01	4.70E-01	-7.77E-02	1.07E-01	4.24E-02	bad-chisq
group_14171	5.46E-02	1.04E-01	7.67E-02	-2.25E-01	1.27E-01	1.04E-01	bad-chisq
group_14068	5.12E-02	1.25E-01	3.99E-01	-9.15E-02	1.08E-01	4.95E-02	bad-chisq
group_14064	5.46E-02	3.10E-01	9.81E-01	-2.56E-03	1.09E-01	1.38E-03	
group_13640	5.46E-02	3.10E-01	9.81E-01	-2.56E-03	1.09E-01	1.38E-03	
group_13562	5.46E-02	3.10E-01	9.81E-01	-2.56E-03	1.09E-01	1.38E-03	
group_13396	5.46E-02	1.04E-01	4.70E-01	-7.77E-02	1.07E-01	4.24E-02	bad-chisq
group_13106	5.12E-02	1.25E-01	1.49E-01	-1.98E-01	1.37E-01	8.46E-02	bad-chisq
group_12983	5.46E-02	3.10E-01	9.81E-01	-2.56E-03	1.09E-01	1.38E-03	
phnC	5.46E-02	1.04E-01	4.70E-01	-7.77E-02	1.07E-01	4.24E-02	bad-chisq
parB~~~parG	5.46E-02	3.10E-01	9.81E-01	-2.56E-03	1.09E-01	1.38E-03	
trbM	5.46E-02	8.34E-01	2.68E-01	1.19E-01	1.08E-01	6.49E-02	
group_11583	5.46E-02	6.87E-01	8.59E-01	1.91E-02	1.07E-01	1.04E-02	
group_11578	5.46E-02	1.04E-01	4.70E-01	-7.77E-02	1.07E-01	4.24E-02	bad-chisq
group_11390	5.46E-02	3.10E-01	8.16E-01	-2.46E-02	1.06E-01	1.37E-02	
group_11372	5.46E-02	8.34E-01	3.28E-01	1.09E-01	1.12E-01	5.74E-02	
group_11259	5.46E-02	1.04E-01	1.63E-01	-1.63E-01	1.16E-01	8.18E-02	bad-chisq
group_11017	5.12E-02	1.25E-01	1.49E-01	-1.98E-01	1.37E-01	8.46E-02	bad-chisq
group_10569	5.46E-02	1.04E-01	4.70E-01	-7.77E-02	1.07E-01	4.24E-02	bad-chisq
group_10420	5.46E-02	2.51E-02	3.05E-02	-2.82E-01	1.30E-01	1.26E-01	bad-chisq
group_10239	5.46E-02	6.87E-01	4.54E-01	8.13E-02	1.08E-01	4.39E-02	
group_10115	5.12E-02	1.25E-01	1.49E-01	-1.98E-01	1.37E-01	8.46E-02	bad-chisq
group_10008	5.46E-02	1.04E-01	3.40E-01	-9.98E-02	1.04E-01	5.59E-02	bad-chisq
group_9988	5.46E-02	2.51E-02	6.11E-02	-2.00E-01	1.07E-01	1.10E-01	bad-chisq
group_9919	5.46E-02	8.34E-01	3.28E-01	1.09E-01	1.12E-01	5.74E-02	
group_9675	5.46E-02	2.51E-02	1.09E-01	-1.67E-01	1.04E-01	9.37E-02	bad-chisq
cybB	5.46E-02	1.04E-01	5.33E-01	-6.81E-02	1.09E-01	3.66E-02	bad-chisq
group_9482	5.46E-02	1.04E-01	5.33E-01	-6.81E-02	1.09E-01	3.66E-02	bad-chisq
group_9424	5.46E-02	3.10E-01	8.25E-01	-2.31E-02	1.05E-01	1.29E-02	
group_9320	5.46E-02	8.34E-01	3.28E-01	1.09E-01	1.12E-01	5.74E-02	
group_9152	5.46E-02	8.34E-01	3.28E-01	1.09E-01	1.12E-01	5.74E-02	
group_8584	5.46E-02	1.04E-01	1.73E-01	-2.84E-01	2.08E-01	7.98E-02	bad-chisq
group_8511	5.12E-02	3.67E-01	6.41E-01	-6.28E-02	1.34E-01	2.74E-02	
