variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_15780	9.76E-02	3.46E-02	3.63E-01	-9.44E-02	1.04E-01	5.30E-02	
yjgC	9.09E-02	3.47E-04	5.93E-01	1.53E-01	2.87E-01	3.11E-02	bad-chisq
group_14624	9.09E-02	3.47E-04	5.93E-01	1.53E-01	2.87E-01	3.11E-02	bad-chisq
group_14386	9.43E-02	4.47E-05	6.38E-01	-1.25E-01	2.65E-01	2.74E-02	bad-chisq
group_14106	9.43E-02	4.47E-05	6.38E-01	-1.25E-01	2.65E-01	2.74E-02	bad-chisq
group_14105	1.01E-01	1.57E-01	7.01E-01	-3.67E-02	9.55E-02	2.24E-02	
amiR	9.09E-02	3.47E-04	5.93E-01	1.53E-01	2.87E-01	3.11E-02	bad-chisq
group_13716	9.43E-02	4.47E-05	6.38E-01	-1.25E-01	2.65E-01	2.74E-02	bad-chisq
group_13581	9.76E-02	1.17E-02	4.01E-02	-1.71E-01	8.31E-02	1.19E-01	
group_13551	9.43E-02	4.47E-05	3.83E-01	-2.29E-01	2.62E-01	5.08E-02	bad-chisq
group_13255	9.43E-02	4.47E-05	3.83E-01	-2.29E-01	2.62E-01	5.08E-02	bad-chisq
group_13097	9.43E-02	4.47E-05	6.38E-01	-1.25E-01	2.65E-01	2.74E-02	bad-chisq
group_12969	1.01E-01	1.57E-01	7.65E-01	2.66E-02	8.88E-02	1.75E-02	
group_12578	9.43E-02	4.47E-05	3.83E-01	-2.29E-01	2.62E-01	5.08E-02	bad-chisq
ywnH	1.01E-01	5.96E-04	1.50E-01	-1.82E-01	1.26E-01	8.37E-02	
group_11621	1.01E-01	2.63E-02	1.76E-01	-1.34E-01	9.85E-02	7.88E-02	
group_11548	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_10453	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_9882	1.01E-01	6.90E-02	1.46E-01	-1.31E-01	8.95E-02	8.46E-02	
group_8621	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_8600	1.01E-01	3.12E-01	6.75E-01	-3.78E-02	9.01E-02	2.44E-02	
group_8553	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_7682	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_7540	1.01E-01	2.45E-03	8.86E-01	-2.49E-02	1.73E-01	8.38E-03	
group_7361	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_7306	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_7212	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_6952	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_6951	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_6849	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_6610	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_6209	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_6193	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
group_6046	1.01E-01	1.25E-04	2.66E-01	-3.26E-01	2.93E-01	6.48E-02	bad-chisq
