variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_10971	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_10838	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_10675	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_10625	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
kefBGI	1.18E-01	8.91E-02	9.34E-01	-6.73E-03	8.08E-02	4.85E-03	
group_10419	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_10354	1.14E-01	5.77E-03	3.70E-01	-7.56E-02	8.42E-02	5.22E-02	
group_10338	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_10306	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_10185	1.21E-01	5.05E-01	5.87E-01	5.22E-02	9.60E-02	3.16E-02	
group_9960	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_9959	1.18E-01	5.47E-01	5.08E-03	2.63E-01	9.30E-02	1.62E-01	
group_9500	1.14E-01	5.77E-03	3.70E-01	-7.56E-02	8.42E-02	5.22E-02	
group_9276	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_9087	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_8846	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_8407	1.14E-01	5.77E-03	3.70E-01	-7.56E-02	8.42E-02	5.22E-02	
pcaC	1.14E-01	5.77E-03	3.70E-01	-7.56E-02	8.42E-02	5.22E-02	
pyrC	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
group_7934	1.21E-01	3.27E-03	5.32E-01	-1.94E-01	3.10E-01	3.64E-02	
